municipio,nivel,PRIVADO,PÚBLICO,ratio_pub_priv
HUATABAMPO,INICIAL,723.0,1731.0,2.3941908713692945
FRONTERAS,PREESCOLAR,504.0,1102.0,2.1865079365079363
FRONTERAS,SECUNDARIA,934.0,1902.0,2.0364025695931476
FRONTERAS,PRIMARIA,1883.0,3734.0,1.9830058417419012
NACOZARI DE GARCÍA,PREESCOLAR,899.0,1585.0,1.7630700778642936
NACOZARI DE GARCÍA,PRIMARIA,2965.0,5196.0,1.7524451939291736
CABORCA,INICIAL,487.0,748.0,1.5359342915811087
NACOZARI DE GARCÍA,SECUNDARIA,1631.0,2483.0,1.522378908645003
CANANEA,INICIAL,320.0,207.0,0.646875
NAVOJOA,INICIAL,2619.0,1608.0,0.6139747995418099
GUAYMAS,INICIAL,2252.0,1162.0,0.5159857904085258
CAJEME,INICIAL,7033.0,1818.0,0.25849566330157825
HERMOSILLO,INICIAL,14826.0,2614.0,0.17631188452718197
NOGALES,INICIAL,4302.0,663.0,0.15411436541143655
AGUA PRIETA,INICIAL,1207.0,105.0,0.08699254349627175
SAN LUIS RÍO COLORADO,INICIAL,1015.0,41.0,0.04039408866995074
EMPALME,INICIAL,1363.0,0.0,0.0
PUERTO PEÑASCO,INICIAL,747.0,0.0,0.0
MAGDALENA,INICIAL,251.0,0.0,0.0
