municipio,periodo,grado_promedio_escolaridad,poblacion_asiste_escuela,poblacion_total,porcentaje_alfabetas,total_viviendas_habitadas,viviendas_con_automovil,viviendas_con_internet
Moctezuma,2020,10.3498995983936,1441.0,5173.0,98.3688833124216,1725.0,68.7935034802784,51.5661252900232
Naco,1995,,,4912.0,,1159.0,,
Naco,2000,7.3,1398.0,5370.0,97.4010275007555,1254.0,,
Naco,2005,8.3,1578.0,6010.0,,1558.0,,
Naco,2010,8.69,1788.0,6401.0,97.79,1654.0,,
Naco,2015,9.0122279,,,98.1463414634146,1657.0,,39.274924
Naco,2020,9.36801779535343,1539.0,5774.0,98.3485333990633,1697.0,69.8924731182796,47.2520908004779
Nacori Chico,1995,,,2417.0,,586.0,,
Nacori Chico,2000,5.6,487.0,2236.0,93.4767989240081,582.0,,
Nacori Chico,2005,6.2,395.0,1743.0,,496.0,,
Nacori Chico,2010,6.48,472.0,2051.0,94.86,597.0,,
Nacori Chico,2015,6.6135734,,,95.0966850828729,614.0,,6.3517915
Nacori Chico,2020,7.114556416882,299.0,1531.0,96.7437874892888,502.0,64.7410358565737,16.5338645418327
Nacozari de Garcia,1995,,,14195.0,,3049.0,,
Nacozari de Garcia,2000,8.1,4084.0,14365.0,96.9603524229075,3306.0,,
Nacozari de Garcia,2005,8.6,3562.0,11961.0,,3043.0,,
Nacozari de Garcia,2010,9.37,3589.0,12751.0,97.38,3371.0,,
Nacozari de Garcia,2015,9.6056889,,,97.1108552287239,3829.0,,52.981172
Nacozari de Garcia,2020,10.0985860933566,3691.0,14369.0,98.2246236974141,4344.0,71.9290159022816,72.1594837520166
Navojoa,1995,,,136162.0,,29169.0,,
Navojoa,2000,7.9,39697.0,140650.0,93.9929849692961,31960.0,,
Navojoa,2005,8.6,41973.0,144598.0,,35063.0,,
Navojoa,2010,9.22,45120.0,157729.0,94.99,40107.0,,
Navojoa,2015,9.7791484,,,96.7865372297505,44316.0,,27.703252
Navojoa,2020,10.3092423234453,41947.0,164387.0,97.3323524237529,46918.0,54.599761051374,46.3282983444274
Nogales,1995,,,133491.0,,30946.0,,
Nogales,2000,8.6,39727.0,159787.0,97.8230117061778,37694.0,,
Nogales,2005,9.2,52780.0,193517.0,,48584.0,,
Nogales,2010,9.67,63348.0,220292.0,97.62,57647.0,,
Nogales,2015,10.3533952,,,98.5490523421388,65265.0,,52.095514
Nogales,2020,10.5864327968794,72202.0,264782.0,98.6660356101099,78358.0,64.5045873904265,70.9844360959902
Onavas,1995,,,501.0,,112.0,,
Onavas,2000,5.7,122.0,479.0,90.5537459283388,126.0,,
Onavas,2005,6.0,95.0,392.0,,118.0,,
Onavas,2010,6.67,84.0,399.0,95.02,111.0,,
Onavas,2015,7.5207756,,,95.8677685950413,125.0,,4.0
Onavas,2020,7.12455516014235,69.0,365.0,97.508896797153,120.0,57.9831932773109,73.109243697479
Opodepe,1995,,,3069.0,,758.0,,
